SDate,PFIZER_High,PFIZER_Low,PFIZER_Open,PFIZER_Close,PFIZER_Volume,PFIZER_Adj Close,PFIZER_VARIATION,ASTRAZENECA_High,ASTRAZENECA_Low,ASTRAZENECA_Open,ASTRAZENECA_Close, ASTRAZENECA_Volume ,ASTRAZENECA_Adj Close,ASTRAZENECA_VARIATION,BIONTECH_High,BIONTECH_Low,BIONTECH_Open,BIONTECH_Close,BIONTECH_Volume,BIONTECH_Adj Close,BIONTECH_VARIATION,MODERNA_High,MODERNA_Low,MODERNA_Open,MODERNA_Close,MODERNA_Volume,MODERNA_Adj Close,MODERNA_VARIATION,NOVAVAX_High,NOVAVAX_Low,NOVAVAX_Open,NOVAVAX_Close,NOVAVAX_Volume,NOVAVAX_Adj Close,NOVAVAX_VARIATION
02/01/2020,37.3339653,36.88804626,37.28652954,37.13472366,16514072,35.67731094,-0.151805878,50.49000168,50.13000107,50.29999924,50.38999939," 3,587,300.00 ",48.99202347,0.090000153,38.5,35.36000061,35.75,38.5,139500,38.5,2.75,19.80999947,18.87999916,19.56999969,19.22999954,1233600,19.22999954,-0.340000153,4.570000172,3.859999895,3.99000001,4.489999771,6124200,4.489999771,0.499999762
03/01/2020,37.22960281,36.68880463,36.7362442,36.93548584,14922848,35.48588562,0.199241638,50.38000107,49.83000183,49.88000107,50.09000015," 1,208,700.00 ",48.7003479,0.209999084,41.25,36.41999817,38,40.04999924,176000,40.04999924,2.049999237,19.36000061,18.71999931,19.02000046,18.88999939,1751000,18.88999939,-0.130001068,4.599999905,4.210000038,4.46999979,4.440000057,1709000,4.440000057,-0.029999733
06/01/2020,37.00189972,36.7172699,36.83111954,36.88804626,15771951,35.44031143,0.056926727,50.22000122,49.74000168,50.04000092,49.88000107," 1,992,300.00 ",48.49617386,-0.159999847,45,40.09999847,40.11000061,44.58000183,333300,44.58000183,4.470001221,18.73999977,18.01000023,18.70000076,18.12999916,1606500,18.12999916,-0.570001602,4.71999979,4.360000134,4.409999847,4.579999924,2111700,4.579999924,0.170000076
07/01/2020,37.12523651,36.69829178,37.11574936,36.76470566,20108107,35.32181549,-0.351043701,50.29999924,49.86999893,50.13999939,50.06999969," 1,871,900.00 ",48.68090057,-0.069999695,48.84999847,41.18000031,47.40000153,43.34000015,562100,43.34000015,-4.060001373,18.31999969,17.68000031,18.14999962,17.78000069,1461400,17.78000069,-0.369998932,4.659999847,4.53000021,4.599999905,4.570000172,1024000,4.570000172,-0.029999733
08/01/2020,37.21062469,36.76470566,36.77419281,37.05882263,16403507,35.60438538,0.284629822,50.16999817,49.75,49.86999893,49.95000076," 1,869,000.00 ",48.56423187,0.080001831,46.33000183,44.18000031,44.29999924,45.09999847,193900,45.09999847,0.799999237,18.07999992,17.76000023,17.98999977,17.97999954,1041600,17.97999954,-0.010000229,4.599999905,4.260000229,4.559999943,4.28000021,1790100,4.28000021,-0.279999733
09/01/2020,37.25806427,36.80265808,37.25806427,36.89753342,21971895,35.44942474,-0.360530853,50.18000031,49.83000183,50.02999878,50.08000183," 1,959,000.00 ",48.69062424,0.050003052,46.70999908,42.70999908,46.54999924,43.27000046,234900,43.27000046,-3.279998779,18.54999924,17.89999962,18,18.39999962,1495700,18.39999962,0.399999619,4.260000229,3.940000057,4.25,4.010000229,2095000,4.010000229,-0.239999771
10/01/2020,37.59962082,36.97343445,36.9829216,37.46679306,21557357,35.99634171,0.48387146,50.09999847,49.79999924,49.86999893,49.84999847," 1,872,900.00 ",48.46700287,-0.020000458,44.99000168,38.20999908,44.99000168,39.68000031,369100,39.68000031,-5.310001373,21,19.04999924,21,19.13999939,4504700,19.13999939,-1.86000061,4.050000191,3.910000086,4,3.930000067,1682100,3.930000067,-0.069999933
13/01/2020,37.73244858,37.20113754,37.59013367,37.39089203,15392405,35.92342377,-0.199241638,49.75,49.41999817,49.47999954,49.66999817," 2,395,900.00 ",48.291996,0.189998627,41.31999969,35.25999832,41.00999832,37.83000183,459400,37.83000183,-3.17999649,20.36000061,18.60000038,19.26000023,20.26000023,2207500,20.26000023,1,4,3.650000095,3.970000029,3.950000048,1766900,3.950000048,-0.019999981
14/01/2020,38.02656555,37.28652954,37.40986633,38.0170784,20919160,36.52503204,0.607212067,50.24000168,49.63999939,49.77000046,50.18000031," 2,230,800.00 ",48.78784943,0.409999847,35.47499847,33.22000122,35.29999924,34.52999878,266300,34.52999878,-0.770000458,20.49799919,19.54999924,20.45000076,20,1782800,20,-0.450000763,4.050000191,3.769999981,3.910000086,3.99000001,924700,3.99000001,0.079999924
15/01/2020,38.77609253,38.11195374,38.13093185,38.58633804,23925800,37.07195282,0.455406189,51.06999969,50.52999878,50.54000092,50.79999924," 2,489,400.00 ",49.39064407,0.259998322,39.84999847,33.59999847,35.29999924,34.54999924,361000,34.54999924,-0.75,20.57999992,19.94000053,19.94000053,20.23999977,2055000,20.23999977,0.299999237,4.599999905,4.260000229,4.46999979,4.380000114,5107000,4.380000114,-0.089999676
